fid,DN,area_m2,distance,angle,Latitude,Longitude,geometry
127,1,1005715.618,2670.0,180.0,25.7204562,74.1365262,POINT (413380 2845010)
127,1,1005715.618,2680.0,180.0,25.7203659,74.1365268,POINT (413380 2845000)
127,1,1005715.618,2690.0,225.0,25.7202756,74.1365275,POINT (413380 2844990)
127,1,1005715.618,2700.0,225.0,25.720275,74.1364278,POINT (413370 2844990)
127,1,1005715.618,2710.0,180.0,25.7201847,74.1364284,POINT (413370 2844980)
127,1,1005715.618,2720.0,180.0,25.7200944,74.1364291,POINT (413370 2844970)
127,1,1005715.618,2730.0,225.0,25.7200041,74.1364297,POINT (413370 2844960)
127,1,1005715.618,2740.0,225.0,25.7200035,74.1363301,POINT (413360 2844960)
127,1,1005715.618,2750.0,180.0,25.7199133,74.1363307,POINT (413360 2844950)
127,1,1005715.618,2760.0,180.0,25.719823,74.1363314,POINT (413360 2844940)
127,1,1005715.618,2770.0,180.0,25.7197327,74.136332,POINT (413360 2844930)
127,1,1005715.618,2780.0,225.0,25.7196424,74.1363327,POINT (413360 2844920)
127,1,1005715.618,2790.0,225.0,25.7196418,74.136233,POINT (413350 2844920)
127,1,1005715.618,2800.0,180.0,25.7195515,74.1362336,POINT (413350 2844910)
127,1,1005715.618,2810.0,225.0,25.7194612,74.1362343,POINT (413350 2844900)
127,1,1005715.618,2820.0,225.0,25.7194606,74.1361346,POINT (413340 2844900)
127,1,1005715.618,2830.0,180.0,25.7193703,74.1361353,POINT (413340 2844890)
127,1,1005715.618,2840.0,225.0,25.71928,74.1361359,POINT (413340 2844880)
127,1,1005715.618,2850.0,270.0,25.7192794,74.1360363,POINT (413330 2844880)
127,1,1005715.618,2860.0,225.0,25.7192788,74.1359366,POINT (413320 2844880)
127,1,1005715.618,2870.0,225.0,25.7191886,74.1359372,POINT (413320 2844870)
127,1,1005715.618,2880.0,270.0,25.719188,74.1358376,POINT (413310 2844870)
127,1,1005715.618,2890.0,225.0,25.7191874,74.1357379,POINT (413300 2844870)
127,1,1005715.618,2900.0,180.0,25.7190971,74.1357385,POINT (413300 2844860)
127,1,1005715.618,2910.0,180.0,25.7190068,74.1357392,POINT (413300 2844850)
127,1,1005715.618,2920.0,225.0,25.7189165,74.1357398,POINT (413300 2844840)
127,1,1005715.618,2930.0,225.0,25.7189159,74.1356402,POINT (413290 2844840)
127,1,1005715.618,2940.0,180.0,25.7188256,74.1356408,POINT (413290 2844830)
127,1,1005715.618,2950.0,225.0,25.7187353,74.1356415,POINT (413290 2844820)
127,1,1005715.618,2960.0,270.0,25.7187347,74.1355418,POINT (413280 2844820)
127,1,1005715.618,2970.0,225.0,25.7187341,74.1354421,POINT (413270 2844820)
127,1,1005715.618,2980.0,225.0,25.7186439,74.1354428,POINT (413270 2844810)
127,1,1005715.618,2990.0,270.0,25.7186433,74.1353431,POINT (413260 2844810)
127,1,1005715.618,3000.0,225.0,25.7186427,74.1352434,POINT (413250 2844810)
127,1,1005715.618,3010.0,180.0,25.7185524,74.1352441,POINT (413250 2844800)
